id,station_name,data_source,lat,lon,http_link,host
-,Vila_Vicosa_Evora,MN6,38.77,7.4167,/PRT_Vila_Vicosa_Evora_MN6.zip,MN6
-,Vlana_do_Castelo,MN6,41.68,-8.8333,/PRT_Vlana_do_Castelo_MN6.zip,MN6
-,Jericho,MN6,31.87,35.45,/PSE_Jericho_MN6.zip,MN6
-,Doha_Intl_AP,MN6,25.25,51.567,/QAT_Doha_Intl_AP_MN6.zip,MN6
-,Dammam,MN6,26.42,50.1,/SAU_Dammam_MN6.zip,MN6
-,Gizan,MN6,16.9,42.58,/SAU_Gizan_MN6.zip,MN6
-,Jeddah,MN6,21.5,39.17,/SAU_Jeddah_MN6.zip,MN6
-,Khamis_Mushait_AFB,MN6,18.3,42.8,/SAU_Khamis_Mushait_AFB_MN6.zip,MN6
-,Mena,MN6,21.415,39.882,/SAU_Mena_MN6.zip,MN6
-,Tabuk_AFB,MN6,28.36,36.63,/SAU_Tabuk_AFB_MN6.zip,MN6
-,San_Salvador_UES,MN6,13.72,-89.2,/SLV_San_Salvador_UES_MN6.zip,MN6
-,Kikinda,MN6,45.85,20.46,/SRB_Kikinda_MN6.zip,MN6
-,Kragujevac,MN6,44.02,20.92,/SRB_Kragujevac_MN6.zip,MN6
-,Nis_station,MN6,43.33,21.9,/SRB_Nis_station_MN6.zip,MN6
-,Nis_userenteredlocation,MN6,43.337,21.854,/SRB_Nis_userenteredlocation_MN6.zip,MN6
-,Novi_Sad,MN6,45.33,19.85,/SRB_Novi_Sad_MN6.zip,MN6
-,Sabac,MN6,44.75,19.6833,/SRB_Sabac_MN6.zip,MN6
-,Bardejov,MN6,49.29,21.2778,/SVK_Bardejov_MN6.zip,MN6
-,Karlskrona,MN6,56.159,15.587,/SWE_Karlskrona_MN6.zip,MN6
-,Mae_Sot-Tak,MN6,16.667,98.55,/THA_Mae_Sot-Tak_MN6.zip,MN6
-,Phuket_AP,MN6,8.117,98.317,/THA_Phuket_AP_MN6.zip,MN6
-,Phuket,MN6,7.883,98.4,/THA_Phuket_MN6.zip,MN6
-,Adana-Incirlik_AFB,MN6,37,35.417,/TUR_Adana-Incirlik_AFB_MN6.zip,MN6
-,Adana,MN6,36.983,35.3,/TUR_Adana_MN6.zip,MN6
-,Antakya,MN6,36.23,36.12,/TUR_Antakya_MN6.zip,MN6
-,Antalya,MN6,36.867,30.733,/TUR_Antalya_MN6.zip,MN6
-,Aydin,MN6,37.85,27.85,/TUR_Aydin_MN6.zip,MN6
-,Ayvalik-Balikesir,MN6,39.31,26.69,/TUR_Ayvalik-Balikesir_MN6.zip,MN6
-,Bartin,MN6,41.634,32.336,/TUR_Bartin_MN6.zip,MN6
-,Diyarbakir,MN6,37.883,40.183,/TUR_Diyarbakir_MN6.zip,MN6
-,Erzurum,MN6,39.917,41.267,/TUR_Erzurum_MN6.zip,MN6
-,Kocaeli,MN6,40.851,29.881,/TUR_Kocaeli_MN6.zip,MN6
-,Manisa,MN6,38.6,27.48,/TUR_Manisa_MN6.zip,MN6
-,Mardin,MN6,37.317,40.738,/TUR_Mardin_MN6.zip,MN6
-,Mugla,MN6,37.2,28.35,/TUR_Mugla_MN6.zip,MN6
-,Safranbolu-Karabuk,MN6,41.24,32.68,/TUR_Safranbolu-Karabuk_MN6.zip,MN6
-,Sanliurfa,MN6,37.13,38.75,/TUR_Sanliurfa_MN6.zip,MN6
-,Chiayi_County,MN6,23.48,120.354,/TWN_Chiayi_County_MN6.zip,MN6
-,Hualien,MN6,23.928,121.592,/TWN_Hualien_MN6.zip,MN6
-,Ming-Chuan,MN6,23.251,120.703,/TWN_Ming-Chuan_MN6.zip,MN6
-,Nantou_Yuchih,MN6,23.85,120.9,/TWN_Nantou_Yuchih_MN6.zip,MN6
-,Tainan,MN6,23,120.2,/TWN_Tainan_MN6.zip,MN6
-,Salto,MN6,-31.38,-57.95,/URY_Salto_MN6.zip,MN6
-,CA_Plantation,MN6,38.6,-123.3,/USA_CA_Plantation_MN6.zip,MN6
-,CO_Durango-La_Plata,MN6,37.15,-107.75,/USA_CO_Durango-La_Plata_MN6.zip,MN6
-,CO_Lake_George,MN6,38.97,-105.37,/USA_CO_Lake_George_MN6.zip,MN6
-,HI_Kula_Sanatorium,MN6,20.69,-156.3764,/USA_HI_Kula_Sanatorium_MN6.zip,MN6
-,HI_Volcanoes_National_Park,MN6,19.33,-155.4096,/USA_HI_Volcanoes_National_Park_MN6.zip,MN6
-,ID_McCall_AP,MN6,44.88,-116.1,/USA_ID_McCall_AP_MN6.zip,MN6
-,Ho_Chi_Minh_City,MN6,10.82,106.667,/VNM_Ho_Chi_Minh_City_MN6.zip,MN6
-,Sanaa,MN6,15.35,44.207,/YEM_Sanaa_MN6.zip,MN6
